,MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK,RISK
150,11411,Cambria Heights,0.07676960185819362,0.2222222222222222,0.1256311132660204,0.11578947368421053,0
151,11412,St. Albans,0.05952770912122927,0.7222222222222223,0.16030992529423044,0.0863157894736842,0
152,11413,Laurelton/Rosedale,0.09609600667043863,0.1111111111111111,0.12480104915939744,0.14105263157894737,0
153,11414,Hamilton Beach/Howard Beach/Lindenwood,0.2936779726631131,0.34777777777777774,0.16866521007907725,0.35157894736842105,0
154,11415,Kew Gardens,0.5033798874363479,0.19666666666666666,0.311251488607652,0.45684210526315794,2
155,11416,Ozone Park,0.1921622345969447,0.1111111111111111,0.03962536960404117,0.32421052631578945,0
156,11417,Ozone Park,0.06027217771954379,0.3333333333333333,0.13628663839649308,0.09263157894736843,0
157,11418,Richmond Hill,0.18045918823144041,0.2222222222222222,0.09533594177581672,0.2652631578947368,0
158,11419,Richmond Hill/South Ozone Park,0.10413626753223551,0.05555555555555555,0.0,0.2168421052631579,0
159,11420,South Ozone Park,0.14281885590065813,0.04333333333333332,0.04623205539311814,0.2463157894736842,0
160,11421,Woodhaven,0.14356332449897266,0.09666666666666666,0.035748267664015676,0.25473684210526315,0
161,11422,Rosedale,0.06965248205830679,0.062222222222222213,0.13336970465503767,0.10526315789473684,0
162,11423,Hollis/Holliswood,0.17834489741222714,0.07444444444444444,0.15070217178423878,0.22947368421052633,0
163,11426,Bellerose,0.13611863851582742,0.09555555555555555,0.1177277233605366,0.19368421052631576,0
164,11427,Bellerose/Hollis Hills/Holliswood,0.16411065781245346,0.2033333333333333,0.2210971591337843,0.18105263157894738,0
165,11428,Queens Village,0.06926535838718323,0.18555555555555553,0.12802155911539626,0.10526315789473684,0
166,11429,Queens Village,0.10532741728953873,0.16666666666666666,0.18140066595947862,0.1326315789473684,0
167,11432,Hillcrest/Jamaica Estates/Jamaica Hills,0.31357017361007716,0.26555555555555554,0.14548326297593156,0.39368421052631575,2
168,11433,Jamaica,0.09475596319347251,0.08888888888888888,0.11300407746224156,0.14315789473684212,0
169,11434,Airport/South Jamaica/Springfield Gardens/St. Albans,0.0871028260027992,0.07555555555555554,0.17043982989323653,0.1136842105263158,0
170,11435,Briarwood/Jamaica,0.22488907417885118,0.12,0.13060802846330583,0.29684210526315785,0
171,11436,South Jamaica/South Ozone Park,0.07480420475864327,0.1388888888888889,0.07902609280932027,0.13052631578947368,0
172,11691,Edgemere/Far Rockaway,0.7047437539084601,0.13333333333333333,0.34324581953868566,0.6084210526315789,2
173,11692,Arverne/Edgemere,0.24201185194008518,0.20666666666666667,0.36930913859815445,0.19999999999999998,0
174,11693,Arverne/Broad Channel,0.06625770524999258,0.07444444444444444,0.1719958748329246,0.0905263157894737,0
175,11694,Belle Harbor-Neponsit/Rockaway Park,0.13617819600369258,0.09555555555555555,0.24658888754929859,0.14315789473684212,0
176,11697,Breezy Point,0.535421815907805,0.14777777777777779,0.48358303199780034,0.37894736842105264,2
